,method,finetune,dataset,s,n_epochs,lr,regular_weight,K,beta,Results/test_acc,Results/test_acc_bottom_decile,Results/test_acc_std,Results/test_loss,Results/test_loss_bottom_decile,Results/test_loss_std,Results/val_acc,Results_unseen/test_acc,Results_unseen/test_acc_bottom_decile,Results_unseen/test_acc_std,Results_unseen/test_loss,Results_unseen/test_loss_bottom_decile,Results_unseen/test_loss_std,Results_weighted/test_acc,Results_weighted/test_loss,Results_weighted_unseen/test_acc,Results_weighted_unseen/test_loss,sys_avg/total_flops,sys_avg/global_convergence_time_minutes,sys_avg/fl_end_time_minutes,sys_avg/global_convergence_round,sys_avg/local_convergence_round,sys_avg/total_download_bytes,sys_avg/total_upload_bytes,sys_avg/local_convergence_time_minutes,sys_avg/total_model_size
10,pfedme,0,femnist--s02,2,6,0.5,0.1,3.0,,0.9171223958333332,0.84375,0.06870605914082659,0.2897906545826118,0.03320346400141716,0.27052587917125515,0.90858265154122,0.9089285714285716,0.8125,0.06938195175686425,0.36006034840684153,0.06322505325078964,0.28742351732036764,0.9231659544159544,0.27323556083726813,0.9111111111111112,0.35634720449232393,3.47T,172.94746759966833,172.9565287447761,410.0,11.35323383084577,984.42K,985.21K,5.052581292454394,6.27M
11,pfedme,0,femnist--s02,2,6,0.5,0.05,3.0,,0.9057942708333332,0.8125,0.07752676224856868,0.3399984048184706,0.04365674406290054,0.29308073489653796,0.9041483842998408,0.8987723214285716,0.8125,0.06331096556025814,0.3777383656764869,0.08037035167217255,0.29783133732822237,0.9138176638176638,0.31547304676007215,0.9011111111111112,0.3731569276280977,3.47T,172.36642971235491,172.37962610257048,410.0,11.35323383084577,984.42K,985.21K,5.062854937313433,6.27M
12,pfedme,0,femnist--s02,2,6,0.005,0.9,3.0,,0.8306061089342078,0.6875,0.10482502257026952,0.6342211375944317,0.2226266711950302,0.4656048550712044,0.8297272026842079,0.8477678571428571,0.75,0.0687833291197505,0.5225616144482046,0.3091684877872467,0.24583350725517977,0.8429774274453601,0.5904617841068197,0.8507407407407407,0.5104027408361435,8.42T,0.0,407.1737382126037,0.0,11.35323383084577,2.34M,2.34M,4.946926331509121,6.27M
13,pfedme,0,femnist--s02,2,6,0.005,0.2,3.0,,0.7459719421300257,0.59375,0.11133089496641402,0.9903927516192198,0.5854937434196472,0.3759813174437976,0.7401125671300257,0.7600446428571429,0.6875,0.08489042071974015,0.9017011154443024,0.6717069745063782,0.24536679318148868,0.757076316732354,0.9520242903895464,0.7633333333333333,0.8869513048949065,8.42T,0.0,421.14283339004976,0.0,11.35323383084577,2.34M,2.34M,5.0738964460199005,6.27M
14,pfedme,0,femnist--s02,2,6,0.005,0.1,3.0,,0.6673165792531146,0.5238095238095238,0.11333544169006332,1.4293506111949683,1.042167901992798,0.35175758900091886,0.6604806417531146,0.6893973214285715,0.625,0.08140981816771713,1.359465059638023,1.13189435005188,0.25859029095304803,0.6763704765317091,1.397323565120468,0.6937037037037037,1.342948713126006,8.42T,0.0,412.22127178706467,0.0,11.35323383084577,2.34M,2.34M,5.06480799212272,6.27M
15,pfedme,0,femnist--s02,2,6,0.005,0.05,3.0,,0.5495074158910626,0.40625,0.1085284323964024,2.144733326882124,1.780228853225708,0.3023972554795377,0.5467730408910626,0.5876116071428571,0.5,0.09373770912203744,2.0905518740415574,1.8320788145065308,0.2393257185268703,0.555087782156933,2.1248089446042524,0.5940740740740741,2.076853592130873,8.42T,0.0,414.18730633847434,0.0,11.35323383084577,2.34M,2.34M,5.661408818739636,6.27M
16,pfedme,0,femnist--s02,2,6,0.05,0.9,3.0,,0.893359375,0.8125,0.09371011521367036,0.381899430770621,0.06511039286851883,0.4539910459886818,0.8836206734310104,0.9018973214285716,0.8125,0.06769311339599932,0.3884250671253539,0.09239037334918976,0.28588451446748187,0.9021545584045584,0.35311699101563404,0.9062962962962964,0.3779722517563237,3.47T,178.91555938598674,178.92620419825872,410.0,11.35323383084577,984.42K,985.21K,5.614946059121062,6.27M
17,pfedme,0,femnist--s02,2,6,0.05,0.2,3.0,,0.8564453125,0.71875,0.10930473856207958,0.53536346903032,0.12990760803222656,0.5352878475315241,0.8619610838947649,0.8806919642857143,0.78125,0.07600430039839683,0.4366929583949968,0.12417689710855484,0.2913638359544957,0.8671652421652422,0.4916321685633216,0.8848148148148148,0.4269484304609122,3.47T,188.2551057649254,188.27678508839136,410.0,11.35323383084577,984.42K,985.21K,5.456025145107795,6.27M
18,pfedme,0,femnist--s02,2,6,0.05,0.1,3.0,,0.859375,0.71875,0.11431075533265549,0.5415814060465587,0.1082136258482933,0.5775554693511469,0.8581766716923838,0.8801339285714285,0.78125,0.07642636793802896,0.4385332410573028,0.12198221683502196,0.3031959768500536,0.8718839031339032,0.49081998037444985,0.8833333333333333,0.4288575787731895,5.74T,308.0827721037314,308.0953475226368,680.0,11.35323383084577,1.59M,1.59M,5.462345058706467,6.27M
19,pfedme,0,femnist--s02,2,6,0.05,0.05,3.0,,0.8279296875,0.6875,0.12187373060125072,0.6380035227436263,0.17542710900306702,0.5869588270628725,0.8373027817269149,0.8572544642857143,0.75,0.08164571696477778,0.5038146107573993,0.13672590255737305,0.31955723213943643,0.8408119658119658,0.5830922844604804,0.8603703703703703,0.4950554894242022,5.74T,312.6209863036484,312.6386744435323,680.0,11.35323383084577,1.59M,1.59M,5.418694312769486,6.27M
