,method,finetune,dataset,alpha,n_epochs,lr,beta,regular_weight,K,Results/test_acc,Results/test_acc_bottom_decile,Results/test_acc_std,Results/test_loss,Results/test_loss_bottom_decile,Results/test_loss_std,Results/val_acc,Results_unseen/test_acc,Results_unseen/test_acc_bottom_decile,Results_unseen/test_acc_std,Results_unseen/test_loss,Results_unseen/test_loss_bottom_decile,Results_unseen/test_loss_std,Results_weighted/test_acc,Results_weighted/test_loss,Results_weighted_unseen/test_acc,Results_weighted_unseen/test_loss
31,exact,0,cifar--alpha0.5,0.5,6,0.01,0.9,,,0.6517703317714908,0.5510204081632653,0.07302919436379249,1.1316298001394132,0.8729268190930191,0.23320930568655784,0.6494340926744984,0.6465803923179244,0.5774647887323944,0.06545823329727435,1.1729630438325742,0.9349976255343512,0.24905785425168317,0.6538366029302211,1.1204887761484423,0.6546762589928058,1.136754431391378
32,exact,0,cifar--alpha0.5,0.5,6,0.5,0.9,,,0.6381865984641515,0.5299145299145299,0.0787745979711399,1.3828564454128247,1.0124006341268987,0.32584724983541674,0.6304812586114178,0.6167895533122824,0.5043478260869565,0.07232033042641088,1.402245446683945,1.1597545034480543,0.28197694007964447,0.6364539359324559,1.3866637982668597,0.6202466598150052,1.3753351480714433
33,exact,0,cifar--alpha0.5,0.5,6,0.005,0.9,,,0.6263647297265973,0.4852941176470588,0.09459336141533488,1.1744207963591544,0.8438514581946439,0.2923789573926372,0.6208386684263767,0.6216151312933333,0.5182481751824818,0.08497350403640712,1.1999549026383336,0.9042567659955506,0.30582560231502354,0.6265209833623044,1.1756255170503858,0.6233299075025693,1.1787914784782147
34,exact,0,cifar--alpha0.5,0.5,6,0.05,0.9,,,0.6995425265772139,0.5982905982905983,0.07178336211743741,1.0798371638358364,0.8411823907463821,0.26175967027366337,0.7018117835756045,0.6936788947016632,0.6306306306306306,0.06277166402057352,1.1016796646418143,0.8840025179791,0.2180895536777812,0.6999006704742985,1.075577935317839,0.7040082219938335,1.071129355501486
35,exact,0,cifar--alpha0.5,0.5,3,0.1,0.9,,,0.6872457247445365,0.5909090909090909,0.07227463599021161,1.0964206069746356,0.7891269838198637,0.295162318819484,0.6951824130755452,0.6834413909914533,0.6260869565217392,0.05208262020811686,1.1054506091257963,0.9049973034761786,0.19406842760788412,0.6874844797616091,1.088679375430239,0.6885919835560124,1.0790372137707742
36,exact,0,cifar--alpha0.5,0.5,3,0.01,0.9,,,0.6410619839972389,0.4742268041237113,0.09120505257373396,1.1024213509711849,0.7940616177730873,0.27236231398476696,0.636210343432247,0.6379805143088463,0.5328467153284672,0.08778947564013914,1.1131254401701836,0.8736205486150889,0.261909161274999,0.6411720884032779,1.1035562085530315,0.6392600205549845,1.1003900960959754
37,exact,0,cifar--alpha0.5,0.5,3,0.5,0.9,,,0.6367018920952645,0.5416666666666666,0.07335964465013717,1.4012130250757715,1.0182400425275169,0.301209260508303,0.6319134228819947,0.6130714666127808,0.5352112676056338,0.05366460336087793,1.5081961258873624,1.264329245645706,0.1993318310743649,0.6375713930965979,1.4114673628932757,0.6156217882836588,1.4933916159064622
38,exact,0,cifar--alpha0.5,0.5,3,0.005,0.9,,,0.6437070365423034,0.5412844036697247,0.07583001184838653,1.0278249757329452,0.8142787884603175,0.17423266015003264,0.6460175149608437,0.6444165387286283,0.5774647887323944,0.07273983137809224,1.0374781498958825,0.8647838977918233,0.21012808387145457,0.6439036503600696,1.023198909341534,0.6474820143884892,1.0178847215985467
39,exact,0,cifar--alpha0.5,0.5,3,0.05,0.9,,,0.7017239953619544,0.6173913043478261,0.06835273035906535,1.0001989422635906,0.7329091750658475,0.24286926874935127,0.6991183967140079,0.6908285007944662,0.6260869565217392,0.06917112839486274,1.0108244073866677,0.7977071722348531,0.2036837008182015,0.701638937174075,0.9940399341244034,0.7014388489208633,0.9814748110087878
40,exact,1,cifar--alpha0.5,0.5,6,0.1,0.5,,,0.6875710608183799,0.5811965811965812,0.0753541174889068,1.0037032408302842,0.7338818729697884,0.24852867407601925,0.6956176181033937,0.6788604955703675,0.6,0.0595640667531488,1.0235641443147323,0.8006644021204816,0.20293712182764323,0.6867395083188478,1.0035753510557628,0.6865364850976362,1.0040954742542365
