,method,finetune,dataset,alpha,n_epochs,lr,beta,regular_weight,K,Results/test_acc,Results/test_acc_bottom_decile,Results/test_acc_std,Results/test_loss,Results/test_loss_bottom_decile,Results/test_loss_std,Results/val_acc,Results_unseen/test_acc,Results_unseen/test_acc_bottom_decile,Results_unseen/test_acc_std,Results_unseen/test_loss,Results_unseen/test_loss_bottom_decile,Results_unseen/test_loss_std,Results_weighted/test_acc,Results_weighted/test_loss,Results_weighted_unseen/test_acc,Results_weighted_unseen/test_loss,sys_avg/total_model_size,sys_avg/total_upload_bytes,sys_avg/local_convergence_round,sys_avg/global_convergence_time_minutes,sys_avg/fl_end_time_minutes,sys_avg/total_flops,sys_avg/global_convergence_round,sys_avg/total_download_bytes,sys_avg/local_convergence_time_minutes
268,pfedme,1,cifar--alpha5.0,5.0,1,0.05,,0.2,1.0,0.4241582686488793,0.36538461538461536,0.04572957064243023,1.665580651377749,1.575534214093847,0.06575674477982613,0.41780560656143795,0.40936203494151463,0.3253012048192771,0.055961029966545936,1.6754493886475523,1.605490289482416,0.058778823587592274,0.4236626809314034,1.6659449577481589,0.410705596107056,1.674699318205933,2.04M,981.5K,11.0990099009901,0.0,0.0,591.93G,0.0,980.7K,0.5954548273927391
269,pfedme,1,cifar--alpha5.0,5.0,1,0.05,,0.05,1.0,0.3220330680877594,0.24489795918367344,0.049983806661588144,2.074866548985667,2.0329181653148725,0.034884033687679616,0.3218686239323656,0.30617183590659924,0.23684210526315788,0.060563773918471855,2.078360399682866,2.0341539096832277,0.03596243554625818,0.32171176840780363,2.0748185140971045,0.3055961070559611,2.078566230880663,2.04M,862.01K,11.0990099009901,0.0,0.0,520.01G,0.0,861.22K,0.5601130354785478
270,fedem,0,cifar--alpha5.0,5.0,3,0.1,,,,0.727522228416768,0.67,0.050774844366976914,1.0761192947418476,0.78271593850687,0.23060982224931337,0.7352123454476776,0.7161437777498149,0.6538461538461539,0.049680724866571005,1.07947969122778,0.891243657433843,0.1831857005806546,0.7269981120201384,1.074425385487846,0.7172749391727494,1.0767274060243528,6.11M,836.77K,11.0990099009901,79.53060904405939,79.54131159653465,6.8T,120.0,834.41K,4.633388813531353
271,fedem,0,cifar--alpha5.0,5.0,3,0.01,,,,0.6864905077853556,0.6218487394957983,0.04994478146184574,0.9380373197061947,0.770961946850523,0.13577975940798948,0.6857775347396375,0.67920500735021,0.625,0.04696502037652167,0.9454947555645856,0.827265164762173,0.10971760713477656,0.6859660163624921,0.9377072662199496,0.6802919708029197,0.944804510553968,6.11M,906.06K,11.0990099009901,0.0,0.0,7.37T,0.0,903.7K,4.821467072772277
272,fedem,0,cifar--alpha5.0,5.0,3,0.5,,,,0.6817122053079008,0.6046511627906976,0.05347955492650127,1.3199520795609052,1.035886104290302,0.26076880184540846,0.6834960517827666,0.6783948076853882,0.6235294117647059,0.05067070013954301,1.4155811096633155,1.1582954964547787,0.2628173743575624,0.6815607300188798,1.3188534946701929,0.678345498783455,1.4109196902771646,6.11M,836.77K,11.0990099009901,71.92953665198019,71.93827403877887,6.8T,120.0,834.41K,10.67185604240924
273,fedem,0,cifar--alpha5.0,5.0,3,0.005,,,,0.6603703905339385,0.5882352941176471,0.05159220483268217,0.991121870141064,0.8545531375067574,0.12043764243754808,0.6639196309529298,0.6617659989657794,0.6074766355140186,0.04992705581757333,0.982490436992466,0.888130202293396,0.09555177528017168,0.6602894902454374,0.9906913029314812,0.6632603406326034,0.981807778293489,6.11M,906.06K,11.0990099009901,0.0,0.0,7.37T,0.0,903.7K,11.022163220462046
274,fedem,0,cifar--alpha5.0,5.0,3,0.05,,,,0.7336848175867858,0.6634615384615384,0.051678590047061296,0.9922781805479056,0.7559528323488498,0.2254198924295453,0.7322561750017853,0.7250815388447351,0.6826923076923077,0.041816821549400626,0.9715004027410836,0.7572126291014931,0.15283378748627993,0.7335431088735054,0.9893393356627928,0.7260340632603406,0.9666728790804128,6.11M,975.38K,11.0990099009901,68.44273572475248,68.44880114158417,7.93T,140.0,973.02K,10.270489593234323
275,fedem,0,cifar--alpha5.0,5.0,1,0.1,,,,0.7431581063132656,0.6756756756756757,0.04649524509775819,0.91307040501077,0.664133252449406,0.18600601161084823,0.7461469678869416,0.7434889260887313,0.67,0.05039170078305961,0.8938827784254052,0.6973458823756636,0.17785986422754055,0.7429830081812461,0.9121432629282908,0.7445255474452555,0.8917886675129262,6.11M,1.49M,11.0990099009901,51.296732761881174,51.30307306138614,6.99T,220.0,1.49M,6.465832240099012
276,fedem,1,cifar--alpha5.0,5.0,3,0.1,,,,0.7199280882080596,0.6568627450980392,0.050562466431310675,1.086517417743618,0.7952322099644404,0.22202545041841668,0.7287442989839298,0.7138273236456221,0.6352941176470588,0.04993905051248621,1.0988715594011291,0.9092494536595171,0.18330228037995924,0.7202013845185652,1.084975308814227,0.7153284671532847,1.0970581263738828,6.11M,836.77K,11.0990099009901,88.58038344636964,88.59251078267327,8.48T,120.0,834.41K,18.059757071287127
277,fedem,0,cifar--alpha5.0,5.0,1,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
