,method,finetune,dataset,n_epochs,lr,regular_weight,K,beta,Results/test_acc,Results/test_acc_bottom_decile,Results/test_acc_std,Results/test_f1,Results/test_f1_bottom_decile,Results/test_f1_std,Results/test_loss,Results/test_loss_bottom_decile,Results/test_loss_std,Results/val_acc,Results_unseen/test_acc,Results_unseen/test_acc_bottom_decile,Results_unseen/test_acc_std,Results_unseen/test_f1,Results_unseen/test_f1_bottom_decile,Results_unseen/test_f1_std,Results_unseen/test_loss,Results_unseen/test_loss_bottom_decile,Results_unseen/test_loss_std,Results_weighted/test_acc,Results_weighted/test_f1,Results_weighted/test_loss,Results_weighted_unseen/test_acc,Results_weighted_unseen/test_f1,Results_weighted_unseen/test_loss,sys_avg/total_flops,sys_avg/local_convergence_round,sys_avg/total_model_size,sys_avg/total_upload_bytes,sys_avg/local_convergence_time_minutes,sys_avg/global_convergence_time_minutes,sys_avg/global_convergence_round,sys_avg/total_download_bytes,sys_avg/fl_end_time_minutes
129,ditto,1,pubmed2,3,0.005,0.1,,,0.850556644753361,0.8143564356435643,0.03057352743493205,0.6286090306344995,0.6230622413934902,0.007008240748668573,0.4339126745859782,0.3575887382030487,0.06813484184846863,0.8592954253158113,0.4462899529313192,0.12299465240641712,0.323295300524902,0.234822304386662,0.12142664602608036,0.11339565836058169,1.3982138633728027,1.2548822164535522,0.1433316469192505,0.8521462639109698,0.6284009300260115,0.43084397604052327,0.5157452764170749,0.2591837229427842,1.3674211302697867,11.11M,2.5,66.9K,805.96K,0.04090675277777778,0.6107904638888889,70,801.33K,0.6108668138888889
130,ditto,1,pubmed2,3,0.005,0.05,,,0.8706736842026793,0.8391089108910891,0.03065070702050127,0.6435955265514094,0.6350062667650608,0.011892720793782507,0.3794650733470917,0.29396262764930725,0.06648034401497695,0.8693008993525774,0.43664929314834433,0.1140819964349376,0.3225672967134068,0.22153916209523933,0.10970480891330364,0.1118343531819357,1.4444823861122131,1.323501706123352,0.12098067998886108,0.8724165341812401,0.6432798737288754,0.3759258988954494,0.5059482155353394,0.2455651567956272,1.41849143526786,9.54M,2.5,66.9K,692.17K,0.040007105555555554,0.4607135194444445,60,687.54K,0.4607788055555555
131,ditto,1,pubmed2,3,0.05,0.8,,,0.8520217895910024,0.8254950495049505,0.02401125723097144,0.6275409256631986,0.6163526223079195,0.013459881203476637,0.42087910572687787,0.3751843571662903,0.04754732529124566,0.8531379792372268,0.7600791049557654,0.679144385026738,0.08093471992902729,0.6129815715975733,0.6069831000119623,0.005998471585610954,0.7020567357540131,0.5702841281890869,0.13177260756492615,0.8533386327503975,0.6272728745145995,0.42026528283740455,0.7774667599720084,0.611692886659307,0.6737472952204705,26.01M,2.5,66.9K,1.84M,0.041515327777777784,1.184869525,165,1.84M,1.1849240055555557
132,ditto,1,pubmed2,3,0.05,0.5,,,0.8545421283730731,0.823019801980198,0.0286897524954876,0.6278860679275409,0.6145218830049443,0.011595234279880656,0.41790281732877094,0.3748965263366699,0.0390346453260969,0.8601267879199342,0.6548235129829058,0.5008912655971479,0.15393224738575784,0.509064675473166,0.47233127994800467,0.03673339552516139,0.9134093821048735,0.7273550629615784,0.1860543191432953,0.856120826709062,0.6273457298479755,0.4161792576597302,0.6878936319104269,0.5169563146797612,0.8734383002455373,23.66M,2.5,66.9K,1.68M,0.03909055833333333,1.0910128527777776,150,1.67M,1.0910977916666666
133,ditto,1,pubmed2,3,0.05,0.1,,,0.8647364951695695,0.8341584158415841,0.03541637947422587,0.644761716238441,0.6228131597054886,0.01656280859016685,0.4114535649617513,0.3180866241455078,0.07308620718404571,0.8659445710857355,0.43926866934457065,0.11586452762923352,0.32340414171533716,0.2216349577174319,0.1122646626904807,0.10937029502695124,1.4154164791107178,1.2841211557388306,0.1312953233718872,0.8668521462639109,0.6450169286175133,0.4075950820632694,0.5087473757872638,0.24513158513049985,1.3872095761889758,10.33M,2.5,66.9K,749.07K,0.039129672222222224,0.4750496305555556,65,744.43K,0.4751047194444444
134,ditto,1,pubmed2,3,0.05,0.05,,,0.8544317610434636,0.8242574257425742,0.029585995463574735,0.6334160101407765,0.6218683210847424,0.012205510038316058,0.4370660483837128,0.3525193929672241,0.07334064119535685,0.8526057791838032,0.4384318243426403,0.1176470588235294,0.32078476551911084,0.222170536896189,0.11409527839912946,0.10807525849705953,1.4283822178840635,1.2964231967926023,0.13195902109146118,0.856120826709062,0.6332480126018057,0.43364753616775353,0.5073477956613016,0.24538894442494844,1.4000327290981445,10.33M,2.5,66.9K,749.07K,0.04051980555555556,0.4762769777777778,65,744.43K,0.4763315638888888
135,ditto,1,pubmed2,1,0.1,0.1,,,0.8520561267879972,0.8268506900878294,0.03399268123602093,0.6259488905558839,0.6118070499417244,0.013596340104745442,0.4174678524335225,0.3730624616146088,0.032218956644349074,0.8594412792001487,0.4494853659939049,0.124777183600713,0.3247081823931919,0.26111142286925876,0.12382472756085254,0.13728669530840623,1.3824313282966614,1.231602907180786,0.15082842111587524,0.854133545310016,0.6258383014195588,0.4155915793155828,0.5192442267319805,0.29060548547225434,1.3500280215908715,5.94M,2.5,66.9K,862.85K,0.037267211111111115,0.46955988333333337,75,858.22K,0.46962922222222225
136,ditto,1,pubmed2,1,0.1,0.8,,,0.85366269828602,0.8094059405940595,0.04315453106561434,0.6316247715699146,0.6174095256206711,0.010730395130917367,0.44607219099998474,0.3559702932834625,0.0903291316558352,0.8575986663138613,0.7121140244954287,0.5935828877005348,0.11853113679489392,0.5605289454575715,0.5455362251652627,0.01499272029230886,0.8435899317264557,0.7049295902252197,0.13866034150123596,0.856120826709062,0.6321661948749087,0.4425295057494803,0.7375787263820853,0.5637499147575986,0.8138007610890313,11.03M,2.5,66.9K,1.56M,0.04327508333333333,0.7761325305555555,140,1.56M,0.776182875
137,ditto,1,pubmed2,1,0.01,0.8,,,0.8367096224756754,0.8131188118811881,0.020880040469938476,0.6132115714227995,0.5958428407523431,0.01335565154443373,0.4584419131278992,0.40940025448799133,0.03614774805397326,0.8422364020313059,0.6879523070225158,0.5579322638146168,0.13002004320789895,0.5337253132042372,0.515265494020206,0.018459819184031223,0.8772382140159607,0.7266173362731934,0.1506208777427673,0.8378378378378378,0.6124906608686328,0.4591485535302488,0.7158852344296711,0.5376911385992671,0.8448794950047434,10.64M,2.5,66.9K,1.51M,0.03948787777777777,0.7900318138888888,135,1.5M,0.7901120555555555
138,ditto,1,pubmed2,1,0.01,0.5,,,0.8390030737101011,0.8143564356435643,0.0331337036557979,0.6107323080395887,0.5955633418876899,0.01449648911844062,0.4510439833005269,0.4145210087299347,0.03423286055532476,0.8443515984566137,0.496504760261876,0.20499108734402852,0.2915136729178475,0.37678251932603274,0.21240387951129183,0.1643786398147409,1.1862686276435852,0.9970853328704834,0.1891832947731018,0.8410174880763116,0.6106201742821367,0.4495892872136613,0.5591322603219034,0.41209689470960553,1.145625330585963,7.9M,2.5,66.9K,1.12M,0.044092238888888885,0.6250221777777777,100,1.12M,0.6251079055555554
